"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"Ralgapa2"	5950	3680	5670	11070	5745	5071	7105	14029	6815	6525	6994	16256	6494	6998	7889	14966
"Bub1b"	614	4284	5090	1456	1084	5048	4002	1068	848	2876	5855	2962	686	5274	4665	1546
"Kiz"	1124	1831	1596	1522	1414	1358	1386	1098	2102	2135	1347	1180	2292	1532	1272	1856
"Pak6"	2654	1478	488	2870	1026	1170	256	2114	2686	1700	1028	2140	1571	1168	698	1668
"Xrn2"	27345	28274	28641	12437	24610	26070	28774	13708	37455	35567	36688	17077	33223	33462	33917	16398
"Nxt1"	2374	3168	2708	1896	2348	3118	2323	2530	2042	2720	3686	3310	2599	3395	3334	2014
"Rabgap1"	4549	4315	3566	3923	3029	4005	4771	3936	5595	5580	4163	4489	4101	3793	4539	5092
"Gzf1"	3109	4448	1276	1934	2812	1796	2086	2002	3684	3327	1891	1918	2869	2604	2118	2146
"Cst3"	9734	8640	10182	10534	9656	8442	11214	9388	9088	8940	10524	8824	7760	10860	10445	10684
"Strbp"	4522	6420	3346	2337	3690	4504	2882	3410	4316	5588	2490	1844	4861	4798	2656	3204
"Zfp120"	3850	4050	4174	7303	3046	2950	4924	6076	4538	4062	4237	6298	3133	3052	4728	6113
"Gm10130"	1058	874	1892	7234	865	1116	3922	6303	1282	1020	3110	5140	1018	1073	2670	4915
"Cst7"	26337	23381	16298	28033	21772	19271	20577	29630	29112	28074	22700	28580	22658	20917	17126	24020
"Apmap"	5615	2872	4209	2878	4099	3970	3949	2949	5408	4698	5057	3940	4487	4991	3900	3816
"Dennd1a"	2338	2663	2638	3731	3693	2666	2664	2649	3052	4470	2746	5706	3977	4576	3192	4464
"Bahd1"	8148	9472	5113	8309	9612	6882	8156	11892	7308	9977	7026	9876	8227	6916	6706	10094
"Acss1"	6406	5833	7277	1599	6088	7257	8435	3238	7656	7739	9777	1761	8366	6919	8310	2468
"Ccdc32"	2400	3113	2610	2728	2570	2474	3132	1749	3644	2604	3116	3818	3038	2902	2792	2066
"Rpusd2"	1462	752	968	750	1360	819	368	624	668	965	766	726	742	1068	567	476
"Entpd6"	3746	4248	1752	2807	3267	3898	2862	3152	3035	4329	2874	3648	4672	3192	2772	4550
"Knl1"	392	2808	3423	868	722	2431	2282	268	418	1295	3819	1234	210	2742	2032	556
"Pygb"	14990	16657	16834	19882	13115	16264	15777	21924	16001	19276	18181	21430	15467	17277	16471	19483
"Rad51"	1094	3643	3014	1340	486	2932	2456	888	142	2828	4384	1496	605	3405	2705	944
"Abhd12"	4877	3396	3988	4180	3957	4220	4267	5321	5572	6731	5421	8800	5785	5766	4863	7461
"Rmdn3"	1929	2153	422	1411	1470	1815	1395	2284	2125	1784	1069	2192	1506	1580	1326	1239
"Psmb7"	6142	6088	5767	4314	3877	5808	4346	4117	3841	5980	6121	5832	4301	6083	4940	5169
"Zfyve19"	1078	1090	1070	982	1338	1554	912	1728	1934	2039	1850	2774	2271	2019	1892	1436
"Vps18"	2102	1788	2516	2220	1362	2808	2872	3492	2742	3804	2904	4077	2322	2532	2252	2548
"Nsfl1c"	6288	5240	5350	6184	5328	6803	7100	5980	7918	6697	6826	7529	6026	6946	6472	5956
"Fkbp1a"	18006	16241	15166	14777	15180	15414	17802	13197	15274	16712	17537	14677	12321	16215	15560	11259
"Sdcbp2"	3492	4613	3996	7828	2618	3581	4116	7026	4638	5659	5798	10134	4119	4577	5043	7259
"Rpl35"	34551	24015	14846	9272	25735	24297	15510	11957	29421	32398	13615	12014	31875	31465	13862	9932
"Ino80"	5400	6578	4978	3522	4752	4492	5048	5202	6738	6106	6972	4411	5933	6382	5266	3678
"Arpc5l"	8470	9196	5564	5570	7000	6228	6666	5986	9398	8385	6770	6380	7145	8249	6110	5500
"Chp1"	14798	15206	17810	20402	12900	13042	17026	19571	17489	15370	19480	25711	13356	14375	16245	24324
"Oip5os1"	30790	29934	37230	40262	30933	26622	36268	44470	32939	29715	35182	44080	26428	24148	37470	36640
"Psmf1"	5618	2660	4188	4780	4578	4072	4836	5410	7054	6590	6510	5932	5792	6308	4646	5843
"Nusap1"	608	5242	7134	1430	162	5602	5334	1014	874	2600	8092	2396	426	4910	5668	1140
"Ndufaf1"	1165	1509	1132	1114	1306	1116	969	2196	2544	1615	1557	1684	1430	1678	1105	970
"Golga1"	1064	1096	1822	1328	864	1426	1209	1942	2255	1792	1450	1901	1508	1560	1460	1194
"Scai"	1922	1134	1135	2070	1980	1448	710	2266	1238	1743	974	1700	1708	1236	1104	1390
"Ppp6c"	9454	8440	9628	8994	6826	8465	10966	10025	11722	8183	9103	12050	8765	8534	8192	9932
"Gm13456"	8840	6877	3333	4590	5774	4250	3342	5031	8417	6124	3651	5844	6356	7541	3692	3824
"Arhgap15"	9258	7998	9735	7402	8694	8880	9697	8846	11209	9925	9883	10535	10433	10828	10416	8611
"Gtdc1"	854	1220	781	1345	816	1174	1360	1782	1536	1794	2015	2583	1192	1098	1232	2445
"Zeb2"	2103	1627	22873	1664	704	1332	27665	1038	1698	1657	26663	1959	1670	1801	22555	1217
"Orc4"	3202	3498	2481	3049	2435	2795	2401	3524	3802	2773	3716	2814	3053	2957	2872	3014
"Mbd5"	2353	1066	1864	2499	1498	1857	2181	3151	4005	2582	1894	3119	3177	2130	2382	2485
"Epc2"	5174	4844	4499	4882	5848	5594	5192	6026	6758	6234	5489	6538	5614	5098	4532	6270
"Kif5c"	2716	3198	2588	4980	2602	2722	2362	3580	2822	3215	2844	6250	2654	2688	3809	4060
"Mmadhc"	3552	4058	2477	3164	2108	3531	2892	4763	3050	4034	4056	5380	2924	4354	3118	4122
"Rbm43"	5909	8725	4934	5124	4808	4977	6025	5700	5568	7082	5701	5599	5830	6090	5992	4258
"Nmi"	9816	12205	8121	9842	7612	6297	7731	12940	10972	10678	9726	13966	9126	8363	6667	10807
"Rif1"	11390	10685	8675	11805	11041	10897	9451	13794	12929	11216	10100	12498	9475	10234	8437	9696
"Arl5a"	10873	8672	15142	18914	9264	10174	16098	20342	11226	10666	18746	24436	9144	11278	17223	16574
"Stam2"	3348	2940	2748	4180	4230	2772	3332	5122	2756	3895	3351	4016	3424	3998	3898	3644
"Prpf40a"	14896	14854	12908	12362	14486	12922	15544	13806	16776	17017	14105	14504	12462	13873	11946	12054
"Arl6ip6"	2644	3142	3604	808	2834	3765	4080	1404	3137	3586	3331	1496	2989	3921	3293	1170
"Nr4a2"	5325	8909	3028	28565	4680	4551	2153	19333	10458	10669	6123	38363	6994	7550	3285	19814
"Gpd2"	3903	6298	11956	17434	4203	5915	11413	14929	6139	6281	13590	23278	4984	6480	11529	17156
"Cytip"	32122	26012	32511	27590	28741	25804	36202	31880	29078	31227	40166	36009	26603	26295	34588	32315
"Pkp4"	8072	11096	1548	5362	13322	12403	3166	4806	11452	14066	3886	5068	15700	12823	3482	4586
"Tanc1"	1770	680	458	58	1486	1510	832	472	2074	1794	658	214	1710	1302	838	134
"Baz2b"	2897	1917	830	2285	4204	2872	1408	2976	4202	4925	2419	4221	4314	3672	1886	3490
"Marchf7"	6532	5564	6499	5384	6991	5750	7529	7468	9112	9685	11377	9630	8426	8686	9179	10987
"Ly75"	13146	11681	8546	20608	14943	11758	10454	18236	13838	14291	10749	28084	15486	13268	11618	22016
"Rbms1"	10582	9978	14089	12462	8838	10876	15526	14372	12254	11847	18050	20184	12210	14338	15353	16280
"Tank"	6428	7542	6849	9288	5547	5952	5468	6808	7028	8559	7738	11225	6510	7228	6571	7198
"Psmd14"	10234	11322	8894	9533	7572	9670	10622	9306	10178	9720	11597	10060	8059	10587	10367	9702
"Dpp4"	21533	15671	6580	5897	25095	16513	9792	9441	22042	20390	8208	8322	21432	17214	9996	7062
"Spata5l1"	3946	3256	1020	1726	2812	2925	2516	2538	2922	2794	2017	2038	2382	2058	1524	2070
"Slc30a4"	1896	1768	711	608	2402	2130	742	702	3212	1974	1254	520	2415	2347	634	956
"Ndufs3"	5356	3874	4710	3613	3768	5195	4372	5696	5805	5825	4312	5554	5507	5807	4577	4001
"Kbtbd4"	665	617	692	1096	1496	1334	961	1599	878	1041	943	1156	1047	650	765	931
"Celf1"	25476	21011	15462	11790	27746	22566	17930	16777	22758	24593	16369	12487	22900	20967	12375	12531
"Mavs"	4568	3494	3554	4499	3834	4386	4919	7112	4698	4783	4528	4547	4236	4030	4302	3819
"Pank2"	7498	8336	5725	7660	7546	6436	7051	6585	7385	8072	7120	7890	7895	8668	6427	7005
"Snrpb"	21574	19648	19761	15938	18554	20950	22843	18096	22908	23162	22682	22638	18053	25988	19733	15985
"Nop56"	8901	9229	5843	4400	7211	9228	7707	6077	9120	9486	7271	5874	8867	9089	6743	6153
"Idh3b"	8664	7680	9414	9476	6534	8022	7693	8435	9356	9896	10850	10983	7908	10429	7894	9485
"Raly"	18831	27089	25925	17258	14772	18564	21506	17911	17819	21795	28457	19911	20167	25752	22901	17099
"Eif2s2"	15007	14808	10550	9676	12480	12316	11173	9888	15839	15086	12860	12226	12201	14226	9726	10152
"Plcb2"	1088	1122	1104	1092	1548	1696	2219	1166	2091	1396	1777	1855	1848	1397	1336	1863
"Inafm2"	2928	2226	900	2066	1948	1552	692	1934	1990	2004	946	2770	2386	1584	1478	2950
"Knstrn"	752	1911	2902	445	583	1935	1391	1083	1278	1401	2593	1173	726	2392	2027	509
"Ivd"	3824	2669	1806	1681	3796	3626	2154	2953	3797	5602	2473	2894	5022	4266	2603	2753
"Bub1"	248	1410	2911	952	454	2620	1920	0	346	1154	2497	769	178	2148	2063	42
"Arl14ep"	2852	3289	3545	3134	3119	3844	2693	4620	4674	4742	2908	4894	3813	3743	2806	2575
"Ralgapb"	15096	15229	18664	19904	16690	16851	19036	22794	19258	17675	20526	25031	16938	16380	18081	19324
"Actr5"	2051	1427	1850	2678	2154	1941	2848	3217	2170	2982	3271	3162	3347	3066	1853	3054
"Ppp1r16b"	8402	7714	8316	25456	8354	9317	9514	31573	7611	10210	9893	33054	8318	8651	9916	32106
"Vma21"	4594	2744	3282	2922	3091	3802	3076	2854	3984	3912	2986	3754	2968	3140	4106	3724
"Rlim"	6705	7136	5650	8296	8324	6684	7458	8324	8284	8504	7782	9464	6966	6508	7105	6704
"Abcb7"	8642	7384	5900	7384	5494	5884	7964	7372	6292	7096	7730	8718	5052	5252	8360	7114
"Uprt"	1984	1116	1901	947	1324	1054	1390	1804	1480	1806	1468	1370	1396	990	1462	1440
"Zdhhc15"	4758	5186	5678	3934	4579	3580	7834	4450	3624	5137	5878	3869	3198	3264	4704	2104
"Cetn2"	6958	6953	6876	8900	5732	5312	7808	11388	8426	6506	7778	13802	5902	5854	7227	10136
"Pbdc1"	3004	3998	3508	2110	3578	3040	3678	2166	3442	3768	3787	2132	2960	4146	3037	1996
"Nsdhl"	1347	256	1387	875	1271	1448	1414	1088	932	2332	2068	1948	1692	1744	1340	2162
"Magee1"	1280	2136	1966	2386	1404	1978	2302	3380	1234	2310	1442	2460	1566	1910	1404	2180
"Xlr4a"	1186	1241	405	1196	1437	1090	804	1830	2023	1971	1312	1734	908	1434	779	1040
"Dock11"	29147	30421	30597	24785	25668	24477	34539	25038	30348	28177	33443	28085	23344	26154	27814	19709
"Pgrmc1"	6050	8796	7990	4894	6548	6770	6560	7020	9624	9622	8322	8914	6834	8224	7414	7406
"Atrx"	15644	16264	15895	21874	19484	20955	17748	24528	22100	21390	19552	26341	18828	17866	15724	20709
"Slc25a5"	42286	46314	37164	29026	34872	43034	34836	30682	40915	45151	39682	40330	37462	49192	35596	30842
"Steep1"	5100	6086	4938	6114	3350	4166	4190	5566	4384	5110	5247	8424	4182	3554	4545	5932
"Magt1"	7376	6804	6866	4550	5981	8088	8810	6041	4698	5514	9034	4578	4294	7182	8112	4224
"Xlr4b"	1410	2320	841	1361	1899	1897	988	1989	876	1630	1232	1226	1434	1510	1039	1128
"Cox7b"	7576	6030	8052	5272	6895	7010	7690	7626	7536	7636	8536	9834	6855	8662	6950	8398
"F8a"	1678	1454	2738	2358	1476	2156	1896	1708	2086	2018	2582	2364	2476	2596	2525	2163
"Ube2a"	5090	4090	3904	3846	3058	3746	4176	3970	3348	3410	5106	4596	3064	4024	3844	4142
"Apex2"	1696	746	808	1809	1056	1920	1945	1654	762	1168	1689	2131	807	1148	1220	1682
"Nkrf"	1136	1661	646	872	1420	1160	624	910	1028	1292	740	753	1136	1324	1010	652
"Atp7a"	976	1045	1342	1436	1662	1015	2610	1605	616	1316	1327	1311	1248	1015	1683	1819
"Zfp275"	5008	4550	4522	4908	5510	4434	3488	8557	6300	5982	4994	7469	6130	4816	4388	6010
"Pgk1"	24304	35405	21914	13876	22314	27442	23458	19200	23072	26568	24972	19544	20358	31662	21044	18132
"Taf9b"	3386	3110	3042	4674	2780	2244	4000	4154	3656	4181	4620	5784	2404	3004	3028	4655
"Septin6"	38580	34750	27903	35706	36886	32985	32113	39647	43530	43465	39419	45206	40657	42245	36842	41969
"Haus7"	298	2502	1516	906	422	491	710	476	1010	1322	936	1182	1216	1520	790	1448
"Rpl39"	75469	50848	33625	32373	46222	38787	35626	34078	57209	54849	29499	42266	54915	59089	31837	33663
"Upf3b"	2433	1732	1466	2030	1992	2292	2102	2628	2678	2691	3192	2699	3209	3053	3000	3282
"Nkap"	3538	2130	3378	4312	2432	2902	3570	5008	3282	3554	3152	4694	2744	3110	3425	4358
"Ndufa1"	4374	4582	5090	3395	2664	3958	4888	3144	4236	4786	4824	4590	3746	4182	4494	4210
"P2ry10"	13419	8110	9840	10976	10284	9223	12404	10539	10593	8686	10409	11037	8737	7489	8666	10481
"P2ry10b"	969	1819	2144	1510	888	819	1494	862	1820	1686	1609	1048	984	897	1054	766
"Gpr174"	16899	11900	6931	14445	13695	8921	8316	11980	17304	13289	9065	17972	9231	8730	7342	13137
"Itm2a"	7912	7422	3536	6289	6650	4894	4130	6620	9666	7234	5302	8900	6990	6408	5218	7786
"2610002M06Rik"	5628	6046	3134	4167	4768	3196	3796	4680	5358	5334	4534	4986	5502	4254	3870	5104
"Maged2"	338	1020	540	1758	288	858	688	1258	654	620	262	1400	652	338	496	1627
"Zbtb33"	4627	5407	4907	6301	4054	3682	6246	7405	5050	4674	5890	6909	4669	3544	4412	6352
"Brwd3"	2594	2842	2863	3139	3968	2113	3334	3524	3118	2634	2806	3851	2629	2184	2694	2462
"Gnl3l"	8514	6776	6149	7774	5400	5272	5776	8145	7240	8255	7483	10510	6013	7035	7168	8945
"Hmgn5"	2420	4726	5370	3154	3256	4354	4690	2954	3262	4252	6112	3468	3072	5680	5474	2452
"Sh3bgrl"	17039	16254	11464	12698	20556	16256	13674	11687	15089	14976	13650	14052	14152	15302	12636	12046
"Tsr2"	2554	1724	1196	1391	2135	1410	1400	1910	3543	3055	879	1807	2682	2239	1370	1821
"Lamp2"	5672	7096	7991	8110	5891	4758	6644	7684	6490	5859	7708	9230	6026	5786	5866	7162
"Bcap31"	12806	12322	12855	11879	13044	11317	14757	11738	11636	11940	13498	11142	10867	12934	12927	9880
"Fam120c"	2856	1928	1250	2428	2636	2163	1620	2435	2512	2441	1998	2120	2255	1422	1345	2071
"Abcd1"	5195	6372	5919	7849	5392	6671	8753	8420	7027	8499	9931	11041	7936	8574	7189	8355
"Idh3g"	8309	8876	6986	5346	7480	6398	6594	6458	9360	9700	6073	7913	8934	10536	6898	5362
"Ssr4"	7220	8130	5012	4506	5086	5082	5524	5472	7346	6858	5580	6008	6090	8502	4912	5714
"Cul4b"	7392	6015	5073	3907	4735	5901	4483	4865	5725	6782	5044	5742	4954	4840	4500	3952
"Apool"	1584	2518	1052	1120	1580	1040	1272	1476	1700	1586	1584	1782	1284	1826	1348	774
"Mcts1"	3686	4298	2860	3229	2114	3143	2302	2162	3249	3309	3267	3059	3223	2948	3077	3889
"C1galt1c1"	2224	1562	1566	1836	1112	1432	1910	1620	1854	1086	1496	1970	1238	1000	1770	2436
"Chm"	5156	4150	3410	3476	4126	3390	5212	3506	5849	5778	5022	4924	4420	3566	4152	3476
"Phf8"	9218	10344	11357	13250	9742	8832	10966	16202	11146	9888	11520	17796	8702	8774	11202	14722
"L1cam"	1148	2004	9005	2868	690	2857	10070	3168	872	2638	10742	2212	760	3305	9776	1582
"Thoc2"	8069	9744	8167	8681	9932	8526	8956	11638	10429	9209	11305	10563	9038	9741	10149	7398
"Xiap"	12652	13315	14900	15706	13534	12074	14790	16460	12838	13268	15038	17037	10962	9232	13290	12304
"Stag2"	28610	28098	25562	27141	26158	25682	30781	30968	32090	28252	28408	35017	24540	24824	24536	31341
"Sh2d1a"	18512	17130	9234	10421	16296	14689	8382	10190	21160	19179	11226	15703	20533	19569	10224	12388
"Diaph2"	2428	1618	3146	1072	3400	2112	2272	1066	3186	3094	2334	1189	3206	2260	2328	1066
"Huwe1"	28609	28691	23017	25027	35522	34469	23682	35808	40928	47304	27384	35472	49760	45307	26544	26589
"Arhgap4"	13350	11329	12206	10615	11099	10772	11361	12696	11751	15551	18898	12535	15462	13922	15177	13400
"Hsd17b10"	5648	3888	3326	2804	4742	3192	3264	3022	5714	4526	3340	3952	5182	4073	3670	3872
"Smc1a"	16592	18648	17916	15326	17378	23908	16988	14369	18584	21690	21097	16920	18338	22759	16845	15545
"Naa10"	1153	2007	1046	1569	1440	1697	925	1648	2036	1925	1793	1635	1819	1897	1641	1534
"Kdm5c"	18899	15304	12773	20978	17229	15596	15714	22382	18820	19382	18122	20679	17401	17146	14554	18858
"Cstf2"	5788	10518	7894	6289	5871	5831	7847	6734	6266	7922	7933	8315	5526	6501	7175	7410
"Kantr"	2666	1522	620	1474	1272	1486	932	2172	1562	1679	1420	1405	1312	1192	1104	1546
"Tspyl2"	1652	682	442	1438	1010	1108	1048	2368	1234	1798	1468	2779	1887	1682	1116	2092
"Sash3"	58089	49382	51716	59039	44008	48938	55662	77940	56119	52053	55117	79390	50910	47175	51170	69067
"Hcfc1"	23521	25142	28763	28775	21866	28052	30712	32638	24339	30453	30777	34233	24725	30416	27858	27334
"Zdhhc9"	2192	1864	1918	1554	2032	1382	3168	2584	1368	1872	2094	2112	1671	1252	2027	1330
"Utp14a"	5652	4614	3134	2122	4385	4880	3664	2190	5776	6202	3846	2374	4939	4453	2662	2460
"Ubqln2"	7616	6318	5648	6806	7550	6850	6602	9384	7314	8326	6960	7918	6678	7166	6846	7068
"Bcorl1"	778	2366	2510	1494	1606	1212	4282	1684	454	718	2492	1060	1108	1238	2278	1132
"Trmt2b"	4654	5752	3759	5280	4352	4511	2977	4086	5840	5873	5004	7286	5009	4434	4502	5352
"Elf4"	39223	33176	50207	44551	42885	40146	60423	58025	40318	40073	60339	57422	38561	39411	56456	45643
"Aifm1"	3576	3048	3184	3296	2713	3994	3246	4930	3794	4718	3145	4683	3664	4637	3292	3888
"Sat1"	8138	8358	6388	6648	6500	7020	5046	5922	10978	10915	8103	7671	9478	9128	6588	5808
"Acot9"	4143	4924	3422	3506	4183	3926	3948	4008	4388	5160	4876	4846	3652	4002	4150	3234
"Sms"	9190	11948	10266	5072	10098	10746	11118	5726	12248	12894	9786	6238	9794	12572	9803	6860
"Zfp280c"	1622	1872	1080	1746	1250	1704	1737	1320	1558	1695	1754	1403	1413	1506	1040	1118
"Mbtps2"	3438	3123	2142	1675	2992	2645	1743	1624	3162	3162	2859	2648	3021	3211	2976	2601
"Rpl36a"	57288	49990	18400	16784	41709	35750	20117	19634	44506	44882	17978	21541	39692	42812	17782	18820
"Gla"	1574	946	728	1222	2050	1276	1082	1122	1144	1498	1618	1748	1318	1362	1018	1340
"Rbmx2"	1152	1180	804	1124	962	1454	1042	1600	1396	1016	1456	1264	914	1510	702	1164
"Hnrnph2"	10008	8882	9460	9322	11358	9194	9356	10116	10058	9994	9116	11284	9100	10089	9602	9136
"Armcx4"	1036	1394	656	488	1346	1070	788	1192	2194	1628	1020	1658	1695	1752	1106	1338
"Clcn5"	748	444	1590	1094	836	1082	932	1115	544	884	1642	1408	878	1076	2100	756
"Irak1"	7904	8719	7952	9277	10247	8440	8890	10828	10642	12274	11118	13549	10504	10451	8505	12363
"Rps6ka3"	17916	13102	16680	9328	15312	15026	18578	13222	19036	17082	17012	11960	15188	15020	14841	10145
"Armcx2"	4072	3466	700	714	3480	3032	966	1526	5164	4448	1008	1276	4234	3278	628	724
"Eif1ax"	8442	7430	6544	5136	5908	8932	6558	6522	6886	8878	7648	6656	6480	9458	6082	5973
"Mecp2"	12474	11352	8732	10796	11812	8620	9183	12722	15962	13347	12400	14595	13041	12324	11988	13460
"Zmat1"	1432	1212	744	1361	1158	890	1449	2394	1416	1412	914	2054	1388	1018	778	2310
"Enox2"	1030	1346	1220	1238	844	1434	2302	1146	1996	2000	2038	2240	1668	1418	1648	1496
"Bclaf3"	648	1553	1546	1114	850	840	944	910	1868	1452	1565	1445	894	926	890	1158
"Gprasp1"	3937	6218	2084	6193	6214	5380	3140	8907	4031	5096	2138	4801	4675	4564	2636	5182
"Bhlhb9"	1904	3284	1058	3128	1392	2016	1844	2870	1483	2998	2032	2460	2302	2286	1726	2632
"Stk26"	15188	11654	11052	14360	10202	10545	11566	13753	13684	11234	13639	15023	9373	10220	11672	15382
"Rap2c"	10336	10398	8986	8341	11375	8462	12579	11941	11714	11380	13257	12597	8770	10207	11955	12628
"Mbnl3"	2023	2907	3083	2368	2297	2756	3146	1748	2461	2482	3272	2031	2085	2622	2537	1161
"Flna"	122106	139430	240868	37543	143446	178996	277501	37448	139822	163160	272700	50633	144405	200506	267748	38054
"Sh3kbp1"	61852	57300	50687	43613	59195	51046	57551	50944	69152	65273	62712	59611	61022	60967	58131	53440
"Emd"	6437	8128	6783	5093	5289	7511	6832	5912	8189	7091	8720	6811	7594	8147	7178	4407
"Pdha1"	10592	9032	9926	6468	9877	8127	8510	6779	11682	10770	9739	7742	10258	10936	8525	7469
"Rpl10"	174610	134001	77034	63760	140294	125346	84926	71626	158017	152376	75294	74899	136446	134251	73284	66399
"Tceal9"	1894	1676	3130	4272	1884	2426	3410	3630	2072	2842	3559	3858	1702	2644	3512	2686
"Phf6"	7046	8406	5640	8334	8044	7828	7024	8070	9688	8900	7663	10422	8327	6738	6360	6104
"Bex3"	3622	3444	3508	3468	2572	3414	2206	2874	2852	3341	3684	4170	3052	4550	3328	3882
"Hprt"	16120	14794	16268	10560	13032	14242	17360	10404	15752	15902	15998	13118	12222	15013	13042	10878
"Prickle3"	936	791	804	1271	1104	1088	1592	1824	1092	1432	975	1786	870	974	1181	1468
"Plp2"	2277	4982	5956	1018	2028	5208	4520	1001	2040	3506	6375	1327	2538	6546	4826	1142
"Gpkow"	4678	5830	4770	5940	6028	4762	6301	6185	5064	5612	6724	7354	5652	5978	6210	6746
"Fam122b"	1670	2280	2164	2378	2498	1600	1488	2938	3008	2146	2570	3314	2484	2684	2732	2120
"Morf4l2"	5152	4493	4804	4963	5508	4998	4178	4630	6036	5944	4140	5286	4529	4530	3542	3792
"Taz"	2626	3968	2360	3570	3340	3106	2602	4252	4666	4972	3276	5348	4041	3673	2920	4220
"Slc25a53"	3246	2558	2962	6598	3398	1853	3529	6470	3598	2310	3520	7337	2816	3279	3322	6377
"Zcchc18"	3272	3586	4664	6440	4128	3790	4782	7920	3304	3454	4553	7972	3782	3680	4235	7492
"Fam199x"	1162	1790	1020	670	1304	1396	1472	898	2510	1812	1064	720	996	1350	1202	1504
"Atp6ap1"	15563	14877	15238	15696	14844	13198	16980	16524	13734	16230	16991	18465	13257	12227	15724	16220
"Gdi1"	2958	3892	2852	3700	3132	3281	3376	3835	4983	6344	5206	5864	5226	5244	4138	5074
"Fam50a"	3852	5047	3585	5052	4070	3535	3977	4737	4007	4102	4634	4284	4031	4472	3200	3338
"Ints6l"	1730	1452	934	920	1612	1154	1122	874	1858	1016	904	616	592	757	926	751
"Mmgt1"	1788	2720	2866	1485	2426	1769	2614	1903	2432	2554	2781	2385	1685	2530	2385	2641
"Lage3"	1463	1062	2154	1274	1056	880	862	912	1574	1356	1616	1796	1460	1558	1488	1092
"Ubl4a"	2868	2682	2332	1378	1938	2172	1898	1344	1970	2308	3026	1886	1626	3038	3342	2194
"Slc10a3"	2248	1831	2387	1905	1279	1140	1996	1806	2276	1946	1686	2751	1931	1618	2052	2102
"Slc9a6"	1382	3457	2892	2652	2410	2184	2788	3384	3276	2080	2937	2440	1812	1970	2276	2063
"Fam3a"	700	1294	1207	954	1232	1846	1900	1830	1738	2124	1302	2288	1803	2122	1730	1814
"Tbc1d8b"	4928	2851	4066	6016	4490	3562	5262	7486	4256	4087	5390	6700	3101	3082	5053	4987
"Htatsf1"	4214	6480	4486	5186	5562	5870	3920	5640	4858	6532	5884	6436	5522	6007	5014	5166
"Ikbkg"	7608	6325	5390	6193	6640	5784	5998	6568	7822	9190	6952	8526	7912	6304	5808	8044
"G6pdx"	4371	4703	5687	3858	4800	4824	5390	3829	5528	5107	5435	4775	5318	5962	5709	4944
"Rbm41"	1981	1128	918	1478	1335	867	1628	1969	1125	1069	1640	1771	1532	1192	1342	1186
"Phka2"	850	1408	1212	1502	1461	1609	1623	2270	1061	1776	1721	2089	1267	1599	1722	2269
"Arhgef6"	19783	18365	15707	24852	17348	17369	17975	32726	19978	20112	21961	36719	19500	19542	20458	29908
"Gab3"	1834	1196	1892	898	1342	926	1945	1170	1476	1417	1399	892	1458	1093	2237	846
"Prps1"	4696	6842	4002	3342	4778	7558	5130	4391	5502	6896	5210	4398	6382	5936	4144	4312
"Tsc22d3"	10148	7778	11002	2554	7376	7408	13376	2946	7070	9062	10494	2802	8450	8957	10712	1740
"Tfe3"	4596	3530	2870	2586	3612	2978	1880	2404	4212	4846	3568	3094	4846	3844	2860	2940
"Dkc1"	8116	7281	3108	2370	5730	6519	4741	3189	8302	7948	5552	3825	6414	6766	4052	3054
"Rbmx"	3632	3565	2644	4326	3290	3954	4184	5524	3574	4624	5771	6968	4852	5790	4711	6322
"Mpp1"	3646	3490	2222	2298	3796	2614	2838	1886	4282	4290	3010	3072	4034	3748	2692	2602
"Fgf13"	3500	3056	5939	1877	1764	3020	5286	1744	3969	3837	5460	2309	2950	2485	4225	1722
"Fundc2"	5718	6249	4510	4260	4908	5359	5061	4032	5237	6912	6174	6233	5012	6900	5703	6082
"Gripap1"	3870	3440	2936	3158	2593	3720	2184	3614	4751	4011	4266	3671	3654	3883	3274	3078
"Brcc3"	2946	4000	2790	3148	3702	3150	3212	2730	3590	3604	3526	3270	3251	4072	2644	2879
"Otud5"	12795	13810	10468	11408	10774	11586	10740	12668	15949	15185	14184	14916	14158	13189	10440	14617
"Pim2"	21538	14208	5414	9344	17942	14113	5376	11674	23426	21406	6871	13673	21241	15651	7038	9913
"Atp11c"	4624	3520	3736	3487	3874	3810	4428	2958	3948	3984	4340	3562	3943	3456	3183	2934
"Vbp1"	6492	7138	6691	6068	4878	5776	5794	4796	5380	5191	5826	6059	3434	5338	5180	5202
"Rbbp7"	20723	29732	21116	19919	23420	27979	24042	20552	30764	29537	24922	23402	21562	30815	22230	17400
"Slc35a2"	2364	1646	1774	2526	2310	1794	2962	2952	2332	2512	2069	2396	1937	2242	1770	2354
"Txlng"	3074	3630	1206	1587	2168	2405	2562	3143	2943	3240	1556	3279	2429	1892	1998	2802
"Syap1"	6050	4519	7458	7928	6828	3826	5470	8539	5084	4664	7367	8956	5043	3851	6333	7922
"Pqbp1"	7144	6832	5794	5544	6534	5768	6129	4844	6422	6416	5630	6890	6869	7044	5115	5930
"Timm17b"	4019	3961	2310	4505	2094	3182	4107	4426	3615	4027	4015	5646	4216	3795	3304	4734
"Tbl1x"	14974	12092	8762	10383	13085	13190	9092	10291	18586	17244	9246	12209	13146	15174	9692	7852
